,id,question,code_concise,code_verbose,answer,predict
0,1,How many total shipments are in the dataset?,result = len(df),"df['date']=pd.to_datetime(df['date'])
# total number of shipments
result = df.shape[0]
",1000,1000
1,2,What is the earliest shipment date recorded?,df['date']=pd.to_datetime(df['date']); result = df['date'].min(),"df['date']=pd.to_datetime(df['date'])
# earliest shipment date
result = df['date'].min()
",2024-01-01 00:00:00,The earliest shipment date recorded is 2024-01-01 00:00:00.
2,3,What is the most recent shipment date?,df['date']=pd.to_datetime(df['date']); result = df['date'].max(),"df['date']=pd.to_datetime(df['date'])
# most recent shipment date
result = df['date'].max()
",2024-12-30 00:00:00,The most recent shipment date is 2024-12-30 00:00:00.
3,4,How many unique routes are there?,result = df['route'].nunique(),"# number of unique routes
result = df['route'].nunique()
",5,5
4,5,How many warehouses are involved?,result = df['warehouse'].nunique(),"# number of unique warehouses
result = df['warehouse'].nunique()
",4,4
5,6,Which warehouse handled the most shipments overall?,result = df['warehouse'].value_counts().idxmax(),"# warehouse with most shipments
result = df['warehouse'].value_counts().idxmax()
",WH1,The warehouse that handled the most shipments overall is WH1.
6,7,Which route had the fewest shipments?,result = df['route'].value_counts().idxmin(),"# route with fewest shipments
result = df['route'].value_counts().idxmin()
",Route C,The route with the fewest shipments is Route C.
7,8,How many shipments had zero delay?,result = (df['delay_minutes']==0).sum(),"# count shipments with zero delay
result = df[df['delay_minutes']==0].shape[0]
",170,170
8,9,What percentage of all shipments were delayed?,result = (df['delay_minutes']>0).mean()*100,"# percentage of shipments delayed
result = (df['delay_minutes']>0).mean() * 100
",83.0,The percentage of all shipments that were delayed is 83.00%.
9,10,What is the total delay time across all shipments?,result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
",52784,52784.0
10,11,Which route has the highest average delivery time?,result = df.groupby('route')['delivery_time'].mean().idxmax(),"# route with highest average delivery time
result = df.groupby('route')['delivery_time'].mean().idxmax()
",Route C,The route with the highest average delivery time is Route C.
11,12,Which route has the lowest average delivery time?,result = df.groupby('route')['delivery_time'].mean().idxmin(),"# route with lowest average delivery time
result = df.groupby('route')['delivery_time'].mean().idxmin()
",Route B,The route with the lowest average delivery time is Route B.
12,13,Which route experienced the most total delay minutes?,result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
",52784,The route that experienced the most total delay minutes is Route E.
13,14,On which route were delays most frequent?,result = df[df['delay_minutes']>0]['route'].value_counts().idxmax(),"# route with most frequent delays
result = df[df['delay_minutes']>0]['route'].value_counts().idxmax()
",Route E,The route with the most frequent delays is Route E.
14,15,What is the average delivery time per route?,result = df.groupby('route')['delivery_time'].mean(),"# average delivery time per route
result = df.groupby('route')['delivery_time'].mean().reset_index()
","route
Route A    5.546961
Route B    5.438376
Route C    5.573716
Route D    5.461773
Route E    5.453333
Name: delivery_time, dtype: float64","     route  avg_delivery_time
0  Route C           5.573716
1  Route A           5.546961
2  Route D           5.461773
3  Route E           5.453333
4  Route B           5.438376"
15,16,Show the route-wise breakdown of delay reasons.,"result = df[df['delay_minutes']>0].groupby(['route','delay_reason'])['id'].count()","# breakdown of delay reasons by route
result = df[df['delay_minutes']>0].groupby(['route','delay_reason'])['id'].count().reset_index(name='count')
","route    delay_reason    
Route A  Customs Delay       24
         Driver Rest         31
         Mechanical Issue    27
         Minor Breakdown     22
         Traffic             29
         Weather             33
Route B  Customs Delay       22
         Driver Rest         38
         Mechanical Issue    24
         Minor Breakdown     29
         Traffic             30
         Weather             25
Route C  Customs Delay       17
         Driver Rest         21
         Mechanical Issue    28
         Minor Breakdown     30
         Traffic             32
         Weather             20
Route D  Customs Delay       21
         Driver Rest         30
         Mechanical Issue    41
         Minor Breakdown     20
         Traffic             29
         Weather             30
Route E  Customs Delay       31
         Driver Rest         25
         Mechanical Issue    23
         Minor Breakdown     32
         Traffic             37
         Weather             29
Name: id, dtype: int64","      route      delay_reason  count
0   Route A              None     38
1   Route A           Weather     33
2   Route A       Driver Rest     31
3   Route A           Traffic     29
4   Route A  Mechanical Issue     27
5   Route A     Customs Delay     24
6   Route A   Minor Breakdown     22
7   Route B       Driver Rest     38
8   Route B           Traffic     30
9   Route B   Minor Breakdown     29
10  Route B              None     29
11  Route B           Weather     25
12  Route B  Mechanical Issue     24
13  Route B     Customs Delay     22
14  Route C              None     35
15  Route C           Traffic     32
16  Route C   Minor Breakdown     30
17  Route C  Mechanical Issue     28
18  Route C       Driver Rest     21
19  Route C           Weather     20
20  Route C     Customs Delay     17
21  Route D  Mechanical Issue     41
22  Route D              None     32
23  Route D       Driver Rest     30
24  Route D           Weather     30
25  Route D           Traffic     29
26  Route D     Customs Delay     21
27  Route D   Minor Breakdown     20
28  Route E           Traffic     37
29  Route E              None     36
30  Route E   Minor Breakdown     32
31  Route E     Customs Delay     31
32  Route E           Weather     29
33  Route E       Driver Rest     25
34  Route E  Mechanical Issue     23"
16,17,Which routes had no delays at all?,"result = [r for r,g in df.groupby('route') if (g['delay_minutes']>0).sum()==0]","groups = df.groupby('route')
# routes with zero delays
result = [route for route, g in groups if (g['delay_minutes']>0).sum() == 0]
",[],"     route
0  Route B
1  Route D
2  Route C
3  Route E
4  Route A"
17,18,Rank all routes by reliability (fewest delays to most).,result = df.groupby('route').apply(lambda g:(g['delay_minutes']==0).mean()).sort_values(ascending=False),"# rank routes by on-time rate
result = df.groupby('route').apply(lambda g: (g['delay_minutes']==0).mean()).sort_values(ascending=False).reset_index(name='on_time_rate')
","route
Route C    0.191257
Route A    0.186275
Route E    0.169014
Route D    0.157635
Route B    0.147208
dtype: float64","     route  total_shipments  delayed_shipments  reliability_percentage
0  Route C              183              148.0               19.125683
1  Route A              204              166.0               18.627451
2  Route E              213              177.0               16.901408
3  Route D              203              171.0               15.763547
4  Route B              197              168.0               14.720812"
18,19,What is the median delivery time by route?,result = df.groupby('route')['delivery_time'].median(),"# median delivery time by route
result = df.groupby('route')['delivery_time'].median().reset_index()
","route
Route A    5.55
Route B    5.47
Route C    5.69
Route D    5.37
Route E    5.51
Name: delivery_time, dtype: float64","     route  median_delivery_time
0  Route C                  5.69
1  Route E                  5.51
2  Route A                  5.55
3  Route B                  5.47
4  Route D                  5.37"
19,20,Which warehouse has the longest average delay?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
","{'shape': (1000, 7), 'columns': ['id', 'route', 'warehouse', 'delivery_time', 'delay_minutes', 'delay_reason', 'date']}",The warehouse with the longest average delay is WH2.
