id,question,code_concise,code_verbose
1,How many total shipments are in the dataset?,result = len(df),"df['date']=pd.to_datetime(df['date'])
# total number of shipments
result = df.shape[0]
"
2,What is the earliest shipment date recorded?,df['date']=pd.to_datetime(df['date']); result = df['date'].min(),"df['date']=pd.to_datetime(df['date'])
# earliest shipment date
result = df['date'].min()
"
3,What is the most recent shipment date?,df['date']=pd.to_datetime(df['date']); result = df['date'].max(),"df['date']=pd.to_datetime(df['date'])
# most recent shipment date
result = df['date'].max()
"
4,How many unique routes are there?,result = df['route'].nunique(),"# number of unique routes
result = df['route'].nunique()
"
5,How many warehouses are involved?,result = df['warehouse'].nunique(),"# number of unique warehouses
result = df['warehouse'].nunique()
"
6,Which warehouse handled the most shipments overall?,result = df['warehouse'].value_counts().idxmax(),"# warehouse with most shipments
result = df['warehouse'].value_counts().idxmax()
"
7,Which route had the fewest shipments?,result = df['route'].value_counts().idxmin(),"# route with fewest shipments
result = df['route'].value_counts().idxmin()
"
8,How many shipments had zero delay?,result = (df['delay_minutes']==0).sum(),"# count shipments with zero delay
result = df[df['delay_minutes']==0].shape[0]
"
9,What percentage of all shipments were delayed?,result = (df['delay_minutes']>0).mean()*100,"# percentage of shipments delayed
result = (df['delay_minutes']>0).mean() * 100
"
10,What is the total delay time across all shipments?,result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
"
11,Which route has the highest average delivery time?,result = df.groupby('route')['delivery_time'].mean().idxmax(),"# route with highest average delivery time
result = df.groupby('route')['delivery_time'].mean().idxmax()
"
12,Which route has the lowest average delivery time?,result = df.groupby('route')['delivery_time'].mean().idxmin(),"# route with lowest average delivery time
result = df.groupby('route')['delivery_time'].mean().idxmin()
"
13,Which route experienced the most total delay minutes?,result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
"
14,On which route were delays most frequent?,result = df[df['delay_minutes']>0]['route'].value_counts().idxmax(),"# route with most frequent delays
result = df[df['delay_minutes']>0]['route'].value_counts().idxmax()
"
15,What is the average delivery time per route?,result = df.groupby('route')['delivery_time'].mean(),"# average delivery time per route
result = df.groupby('route')['delivery_time'].mean().reset_index()
"
16,Show the route-wise breakdown of delay reasons.,"result = df[df['delay_minutes']>0].groupby(['route','delay_reason'])['id'].count()","# breakdown of delay reasons by route
result = df[df['delay_minutes']>0].groupby(['route','delay_reason'])['id'].count().reset_index(name='count')
"
17,Which routes had no delays at all?,"result = [r for r,g in df.groupby('route') if (g['delay_minutes']>0).sum()==0]","groups = df.groupby('route')
# routes with zero delays
result = [route for route, g in groups if (g['delay_minutes']>0).sum() == 0]
"
18,Rank all routes by reliability (fewest delays to most).,result = df.groupby('route').apply(lambda g:(g['delay_minutes']==0).mean()).sort_values(ascending=False),"# rank routes by on-time rate
result = df.groupby('route').apply(lambda g: (g['delay_minutes']==0).mean()).sort_values(ascending=False).reset_index(name='on_time_rate')
"
19,What is the median delivery time by route?,result = df.groupby('route')['delivery_time'].median(),"# median delivery time by route
result = df.groupby('route')['delivery_time'].median().reset_index()
"
20,Which warehouse has the longest average delay?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
21,Which warehouse shows the shortest delivery time overall?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
22,Which warehouse had the highest number of delayed shipments?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
23,What is the average delay time per warehouse?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
24,Which warehouse had the most weather-related delays?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
25,Which warehouse had the least total delay minutes?,result = df['delay_minutes'].sum(),"# total delay minutes across dataset
result = df['delay_minutes'].sum()
"
26,Which warehouse served the most different routes?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
27,Which warehouse has the most consistent delivery times?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
28,How many shipments were sent from each warehouse?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
29,What is the average delay time across all shipments?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
30,What is the most common delay reason?,"result = {'shape': df.shape, 'columns': list(df.columns)}","result = {'shape': df.shape, 'columns': list(df.columns), 'sample': df.head(3).to_dict(orient='records')}
"
